2025-11-12_20-44-55 | Connecting to udp://:14542 …
2025-11-12_20-44-56 | Connected.
2025-11-12_20-44-56 | Arming…
2025-11-12_20-44-56 | Taking off…
2025-11-12_20-44-56 | Home: lat=47.3979711, lon=8.5462963, altMSL=0.2
2025-11-12_20-44-56 | Flight Altitude (MSL): 10.2 m
2025-11-12_20-45-06 | → GOTO WP1:اللوح 1 @ (47.3998015,8.5456215) yaw=346.0°
2025-11-12_20-59-40 | Connected
2025-11-12_20-59-40 | Arming…
2025-11-12_20-59-40 | Takeoff…
2025-11-12_21-02-51 | TIMEOUT REACHING TARGET
2025-11-12_21-02-54 | [ARRIVED] Holding 15s at اللوح 1
2025-11-12_21-03-38 | [ARRIVED] Holding 15s at اللوح 2
2025-11-12_21-04-02 | [ARRIVED] Holding 15s at اللوح 3
2025-11-12_21-07-20 | TIMEOUT REACHING TARGET
2025-11-12_21-07-24 | [ARRIVED] Holding 15s at اللوح 4
2025-11-12_23-02-53 | Connecting to udp://:14542 …
2025-11-12_23-02-54 | Connected.
2025-11-12_23-02-54 | Waiting for GPS & Home position…
2025-11-12_23-02-54 | GPS & Home position OK.
2025-11-12_23-02-54 | Home lat=47.3979712, lon=8.5460314, altMSL=0.7
2025-11-12_23-02-54 | Cruise Alt MSL = 25.7, Capture Alt MSL = 10.7
2025-11-12_23-02-54 | Arming…
2025-11-12_23-02-54 | Taking off…
2025-11-12_23-03-04 | WP1 اللوح 1: world(-50.9,203.8) → rel(-40.9,203.8) → gps(47.3998016,8.5454893)
2025-11-13_01-39-00 | Connecting to udp://:14542 …
2025-11-13_01-39-01 | Connected.
2025-11-13_01-39-01 | Waiting for GPS & Home position…
2025-11-13_01-39-04 | GPS & Home position OK.
2025-11-13_01-39-04 | Home lat=47.3979712, lon=8.5460312, altMSL=0.6
2025-11-13_01-39-04 | Cruise Alt MSL = 35.6, Capture Alt MSL = 15.6
2025-11-13_01-39-04 | Arming…
2025-11-13_01-39-04 | Taking off…
2025-11-13_01-39-14 | WP1 اللوح 1: world(-50.9,203.8) → ENU(-50.9,203.8) → gps(47.3998016,8.5453564)
2025-11-13_02-11-37 | Connecting to udp://:14542 …
2025-11-13_02-11-38 | Connected.
2025-11-13_02-11-38 | Waiting for local_position_ok…
2025-11-13_12-29-40 | Connecting to udp://:14542 …
2025-11-13_12-29-41 | Connected.
2025-11-13_12-29-41 | Waiting for local_position_ok…
2025-11-13_13-04-50 | Connected
2025-11-13_13-04-50 | Arming…
2025-11-13_13-04-51 | Takeoff…
