2025-11-13_13-17-40 | Reached لمبة 5-cruise
2025-11-13_13-17-40 | → Fly to لمبة 5-cap: N=-141.1, E=525.0, D=-15.0, yaw=117.5
2025-11-13_13-17-40 | Reached لمبة 5-cap
2025-11-13_13-17-40 | Holding 15s…
2025-11-13_13-17-55 | Camera error لمبة 5
2025-11-13_13-17-55 | → Fly to لمبة 5-back: N=-141.1, E=525.0, D=-35.0, yaw=117.5
2025-11-13_13-17-55 | Reached لمبة 5-back
2025-11-13_13-17-55 | Target لمبة 6: rel N=-132.5, E=411.4
2025-11-13_13-17-55 | → Fly to لمبة 6-cruise: N=-132.5, E=411.4, D=-35.0, yaw=274.3
2025-11-13_13-18-06 | Reached لمبة 6-cruise
2025-11-13_13-18-06 | → Fly to لمبة 6-cap: N=-132.5, E=411.4, D=-15.0, yaw=274.3
2025-11-13_13-18-06 | Reached لمبة 6-cap
2025-11-13_13-18-06 | Holding 15s…
2025-11-13_13-18-21 | Camera error لمبة 6
2025-11-13_13-18-21 | → Fly to لمبة 6-back: N=-132.5, E=411.4, D=-35.0, yaw=274.3
2025-11-13_13-18-21 | Reached لمبة 6-back
2025-11-13_13-18-21 | Target لمبة 7: rel N=-129.3, E=349.8
2025-11-13_13-18-21 | → Fly to لمبة 7-cruise: N=-129.3, E=349.8, D=-35.0, yaw=273.0
2025-11-13_13-18-27 | Reached لمبة 7-cruise
2025-11-13_13-18-27 | → Fly to لمبة 7-cap: N=-129.3, E=349.8, D=-15.0, yaw=273.0
2025-11-13_13-18-27 | Reached لمبة 7-cap
2025-11-13_13-18-27 | Holding 15s…
2025-11-13_13-18-42 | Camera error لمبة 7
2025-11-13_13-18-42 | → Fly to لمبة 7-back: N=-129.3, E=349.8, D=-35.0, yaw=273.0
2025-11-13_13-18-42 | Reached لمبة 7-back
2025-11-13_13-18-42 | Target لمبة 8: rel N=-138.7, E=288.6
2025-11-13_13-18-42 | → Fly to لمبة 8-cruise: N=-138.7, E=288.6, D=-35.0, yaw=261.2
2025-11-13_13-18-49 | Reached لمبة 8-cruise
2025-11-13_13-18-49 | → Fly to لمبة 8-cap: N=-138.7, E=288.6, D=-15.0, yaw=261.2
2025-11-13_13-18-49 | Reached لمبة 8-cap
2025-11-13_13-18-49 | Holding 15s…
2025-11-13_13-19-04 | Camera error لمبة 8
2025-11-13_13-19-04 | → Fly to لمبة 8-back: N=-138.7, E=288.6, D=-35.0, yaw=261.2
2025-11-13_13-19-04 | Reached لمبة 8-back
2025-11-13_13-19-04 | Target محطة شحن 1: rel N=155.0, E=207.0
2025-11-13_13-19-04 | → Fly to محطة شحن 1-cruise: N=155.0, E=207.0, D=-35.0, yaw=344.5
2025-11-13_13-19-31 | Reached محطة شحن 1-cruise
2025-11-13_13-19-31 | → Fly to محطة شحن 1-cap: N=155.0, E=207.0, D=-15.0, yaw=344.5
2025-11-13_13-19-31 | Reached محطة شحن 1-cap
2025-11-13_13-19-31 | Holding 15s…
2025-11-13_13-19-46 | Camera error محطة شحن 1
2025-11-13_13-19-46 | → Fly to محطة شحن 1-back: N=155.0, E=207.0, D=-35.0, yaw=344.5
2025-11-13_13-19-46 | Reached محطة شحن 1-back
2025-11-13_13-19-46 | Target محطة شحن 2: rel N=99.5, E=-132.2
2025-11-13_13-19-46 | → Fly to محطة شحن 2-cruise: N=99.5, E=-132.2, D=-35.0, yaw=260.7
2025-11-13_13-20-17 | Reached محطة شحن 2-cruise
2025-11-13_13-20-17 | → Fly to محطة شحن 2-cap: N=99.5, E=-132.2, D=-15.0, yaw=260.7
2025-11-13_13-20-17 | Reached محطة شحن 2-cap
2025-11-13_13-20-17 | Holding 15s…
2025-11-13_13-20-32 | Camera error محطة شحن 2
2025-11-13_13-20-32 | → Fly to محطة شحن 2-back: N=99.5, E=-132.2, D=-35.0, yaw=260.7
2025-11-13_13-20-32 | Reached محطة شحن 2-back
2025-11-13_13-20-32 | Target محطة شحن 3: rel N=111.6, E=-108.3
2025-11-13_13-20-32 | → Fly to محطة شحن 3-cruise: N=111.6, E=-108.3, D=-35.0, yaw=63.2
2025-11-13_13-20-35 | Reached محطة شحن 3-cruise
2025-11-13_13-20-35 | → Fly to محطة شحن 3-cap: N=111.6, E=-108.3, D=-15.0, yaw=63.2
2025-11-13_13-20-35 | Reached محطة شحن 3-cap
2025-11-13_13-20-35 | Holding 15s…
2025-11-13_13-20-50 | Camera error محطة شحن 3
2025-11-13_13-20-50 | → Fly to محطة شحن 3-back: N=111.6, E=-108.3, D=-35.0, yaw=63.2
2025-11-13_13-20-50 | Reached محطة شحن 3-back
2025-11-13_13-20-50 | Target محطة شحن 4: rel N=89.9, E=-96.8
2025-11-13_13-20-50 | → Fly to محطة شحن 4-cruise: N=89.9, E=-96.8, D=-35.0, yaw=152.2
2025-11-13_13-20-54 | Reached محطة شحن 4-cruise
2025-11-13_13-20-54 | → Fly to محطة شحن 4-cap: N=89.9, E=-96.8, D=-15.0, yaw=152.2
2025-11-13_13-20-54 | Reached محطة شحن 4-cap
2025-11-13_13-20-54 | Holding 15s…
2025-11-13_13-21-09 | Camera error محطة شحن 4
2025-11-13_13-21-09 | → Fly to محطة شحن 4-back: N=89.9, E=-96.8, D=-35.0, yaw=152.2
2025-11-13_13-21-09 | Reached محطة شحن 4-back
2025-11-13_13-21-09 | Target اللوح 1: rel N=203.8, E=-50.9
2025-11-13_13-21-09 | → Fly to اللوح 1-cruise: N=203.8, E=-50.9, D=-35.0, yaw=22.0
2025-11-13_13-21-21 | Reached اللوح 1-cruise
2025-11-13_13-21-21 | → Fly to اللوح 1-cap: N=203.8, E=-50.9, D=-15.0, yaw=22.0
2025-11-13_13-21-21 | Reached اللوح 1-cap
2025-11-13_13-21-21 | Holding 15s…
2025-11-13_13-21-36 | Camera error اللوح 1
2025-11-13_13-21-36 | → Fly to اللوح 1-back: N=203.8, E=-50.9, D=-35.0, yaw=22.0
2025-11-13_13-21-36 | Reached اللوح 1-back
2025-11-13_13-21-36 | Target اللوح 2: rel N=201.2, E=-47.2
2025-11-13_13-21-36 | → Fly to اللوح 2-cruise: N=201.2, E=-47.2, D=-35.0, yaw=124.7
2025-11-13_13-21-36 | Reached اللوح 2-cruise
2025-11-13_13-21-36 | → Fly to اللوح 2-cap: N=201.2, E=-47.2, D=-15.0, yaw=124.7
2025-11-13_13-21-36 | Reached اللوح 2-cap
2025-11-13_13-21-36 | Holding 15s…
2025-11-13_13-21-51 | Camera error اللوح 2
2025-11-13_13-21-51 | → Fly to اللوح 2-back: N=201.2, E=-47.2, D=-35.0, yaw=124.7
2025-11-13_13-21-51 | Reached اللوح 2-back
2025-11-13_13-21-51 | Target اللوح 3: rel N=205.6, E=-43.2
2025-11-13_13-21-51 | → Fly to اللوح 3-cruise: N=205.6, E=-43.2, D=-35.0, yaw=42.3
2025-11-13_13-21-52 | Reached اللوح 3-cruise
2025-11-13_13-21-52 | → Fly to اللوح 3-cap: N=205.6, E=-43.2, D=-15.0, yaw=42.3
2025-11-13_13-21-52 | Reached اللوح 3-cap
2025-11-13_13-21-52 | Holding 15s…
2025-11-13_13-22-07 | Camera error اللوح 3
2025-11-13_13-22-07 | → Fly to اللوح 3-back: N=205.6, E=-43.2, D=-35.0, yaw=42.3
2025-11-13_13-22-07 | Reached اللوح 3-back
2025-11-13_13-22-07 | Target اللوح 4: rel N=203.1, E=-39.3
2025-11-13_13-22-07 | → Fly to اللوح 4-cruise: N=203.1, E=-39.3, D=-35.0, yaw=122.2
2025-11-13_13-22-07 | Reached اللوح 4-cruise
2025-11-13_13-22-07 | → Fly to اللوح 4-cap: N=203.1, E=-39.3, D=-15.0, yaw=122.2
2025-11-13_13-22-07 | Reached اللوح 4-cap
2025-11-13_13-22-07 | Holding 15s…
2025-11-13_13-22-22 | Camera error اللوح 4
2025-11-13_13-22-22 | → Fly to اللوح 4-back: N=203.1, E=-39.3, D=-35.0, yaw=122.2
2025-11-13_13-22-22 | Reached اللوح 4-back
2025-11-13_13-22-22 | Target اللوح 5: rel N=197.8, E=-52.0
2025-11-13_13-22-22 | → Fly to اللوح 5-cruise: N=197.8, E=-52.0, D=-35.0, yaw=247.0
2025-11-13_13-22-24 | Reached اللوح 5-cruise
2025-11-13_13-22-24 | → Fly to اللوح 5-cap: N=197.8, E=-52.0, D=-15.0, yaw=247.0
2025-11-13_13-22-24 | Reached اللوح 5-cap
2025-11-13_13-22-24 | Holding 15s…
2025-11-13_13-22-39 | Camera error اللوح 5
2025-11-13_13-22-39 | → Fly to اللوح 5-back: N=197.8, E=-52.0, D=-35.0, yaw=247.0
2025-11-13_13-22-39 | Reached اللوح 5-back
2025-11-13_13-22-39 | → Fly to HOME: N=0.0, E=0.0, D=-35.0, yaw=165.3
2025-11-13_13-22-58 | Reached HOME
2025-11-13_13-22-58 | 
— MISSION SUMMARY :: DRONE_1
  • Total places visited : 17
  • Photos captured      : 0
  • Types breakdown      : lamp=8, charger=4, panel=5
    - [FLAG=False] لمبة 1 (lamp) @ N=155.0m, E=207.0m 
    - [FLAG=False] لمبة 2 (lamp) @ N=105.9m, E=19.7m 
    - [FLAG=False] لمبة 3 (lamp) @ N=104.5m, E=5.3m 
    - [FLAG=False] لمبة 4 (lamp) @ N=122.4m, E=18.8m 
    - [FLAG=False] لمبة 5 (lamp) @ N=-141.1m, E=525.0m 
    - [FLAG=False] لمبة 6 (lamp) @ N=-132.5m, E=411.4m 
    - [FLAG=False] لمبة 7 (lamp) @ N=-129.3m, E=349.8m 
    - [FLAG=False] لمبة 8 (lamp) @ N=-138.7m, E=288.6m 
    - [FLAG=False] محطة شحن 1 (charger) @ N=155.0m, E=207.0m 
    - [FLAG=False] محطة شحن 2 (charger) @ N=99.5m, E=-132.2m 
    - [FLAG=False] محطة شحن 3 (charger) @ N=111.6m, E=-108.3m 
    - [FLAG=False] محطة شحن 4 (charger) @ N=89.9m, E=-96.8m 
    - [FLAG=False] اللوح 1 (panel) @ N=203.8m, E=-50.9m 
    - [FLAG=False] اللوح 2 (panel) @ N=201.2m, E=-47.2m 
    - [FLAG=False] اللوح 3 (panel) @ N=205.6m, E=-43.2m 
    - [FLAG=False] اللوح 4 (panel) @ N=203.1m, E=-39.3m 
    - [FLAG=False] اللوح 5 (panel) @ N=197.8m, E=-52.0m 
2025-11-13_14-19-11 | Connecting to udp://:14540 …
2025-11-13_14-19-12 | Connected.
2025-11-13_14-19-12 | Waiting for local_position_ok…
2025-11-13_14-19-12 | Local position OK.
2025-11-13_14-19-12 | Arming…
2025-11-13_14-19-12 | Offboard started, climbing…
2025-11-13_14-19-17 | Target لمبة 1: rel N=155.0, E=207.0
2025-11-13_14-19-17 | → Fly to لمبة 1-cruise: N=155.0, E=207.0, D=-35.0, yaw=53.2
2025-11-13_14-19-40 | Reached لمبة 1-cruise
2025-11-13_14-19-40 | → Fly to لمبة 1-cap: N=155.0, E=207.0, D=-15.0, yaw=53.2
2025-11-13_14-19-40 | Reached لمبة 1-cap
2025-11-13_14-19-40 | Holding 15s…
2025-11-13_14-19-56 | Camera error لمبة 1
2025-11-13_14-19-56 | → Fly to لمبة 1-back: N=155.0, E=207.0, D=-35.0, yaw=53.2
2025-11-13_14-19-56 | Reached لمبة 1-back
2025-11-13_14-19-56 | Target لمبة 2: rel N=105.9, E=19.7
2025-11-13_14-19-56 | → Fly to لمبة 2-cruise: N=105.9, E=19.7, D=-35.0, yaw=255.3
2025-11-13_14-20-13 | Reached لمبة 2-cruise
2025-11-13_14-20-13 | → Fly to لمبة 2-cap: N=105.9, E=19.7, D=-15.0, yaw=255.3
2025-11-13_14-20-13 | Reached لمبة 2-cap
2025-11-13_14-20-13 | Holding 15s…
2025-11-13_14-20-28 | Camera error لمبة 2
