2025-11-12_20-44-55 | Connecting to udp://:14541 …
2025-11-12_20-44-56 | Connected.
2025-11-12_20-44-56 | Arming…
2025-11-12_20-44-56 | Taking off…
2025-11-12_20-44-56 | Home: lat=47.3979711, lon=8.5462963, altMSL=0.2
2025-11-12_20-44-56 | Flight Altitude (MSL): 10.2 m
2025-11-12_20-45-06 | → GOTO WP1:لمبة 1 @ (47.3993635,8.5490434) yaw=53.2°
2025-11-12_20-59-40 | Connected
2025-11-12_20-59-40 | Arming…
2025-11-12_20-59-40 | Takeoff…
2025-11-12_21-00-49 | [ARRIVED] Holding 15s at لمبة 1
2025-11-12_21-04-07 | TIMEOUT REACHING TARGET
2025-11-12_21-04-10 | [ARRIVED] Holding 15s at لمبة 2
2025-11-12_21-04-50 | [ARRIVED] Holding 15s at لمبة 3
2025-11-12_21-05-19 | [ARRIVED] Holding 15s at لمبة 4
2025-11-12_21-08-37 | TIMEOUT REACHING TARGET
2025-11-12_21-08-40 | [ARRIVED] Holding 15s at لمبة 5
2025-11-12_23-02-53 | Connecting to udp://:14541 …
2025-11-12_23-02-54 | Connected.
2025-11-12_23-02-54 | Waiting for GPS & Home position…
2025-11-12_23-02-54 | GPS & Home position OK.
2025-11-12_23-02-54 | Home lat=47.3979712, lon=8.5460314, altMSL=0.7
2025-11-12_23-02-54 | Cruise Alt MSL = 25.7, Capture Alt MSL = 10.7
2025-11-12_23-02-54 | Arming…
2025-11-12_23-02-54 | Taking off…
2025-11-12_23-03-04 | WP1 لمبة 1: world(207.0,155.0) → rel(197.0,155.0) → gps(47.3993636,8.5486458)
2025-11-12_23-04-01 | [ARRIVED] Holding 15s at لمبة 1
2025-11-12_23-04-16 | Camera unknown error at لمبة 1: Camera.take_photo() missing 1 required positional argument: 'component_id'
2025-11-12_23-04-19 | WP2 لمبة 2: world(19.7,105.9) → rel(9.7,105.9) → gps(47.3989222,8.5461603)
2025-11-13_01-39-00 | Connecting to udp://:14541 …
2025-11-13_01-39-01 | Connected.
2025-11-13_01-39-01 | Waiting for GPS & Home position…
2025-11-13_01-39-04 | GPS & Home position OK.
2025-11-13_01-39-04 | Home lat=47.3979712, lon=8.5460312, altMSL=0.6
2025-11-13_01-39-04 | Cruise Alt MSL = 35.6, Capture Alt MSL = 15.6
2025-11-13_01-39-04 | Arming…
2025-11-13_01-39-04 | Taking off…
2025-11-13_01-39-14 | WP1 لمبة 1: world(207.0,155.0) → ENU(207.0,155.0) → gps(47.3993636,8.5487783)
2025-11-13_01-40-11 | [ARRIVED] Holding 15s at لمبة 1
2025-11-13_01-40-26 | Camera unknown error at لمبة 1: Camera.take_photo() missing 1 required positional argument: 'component_id'
2025-11-13_01-40-29 | WP2 لمبة 2: world(19.7,105.9) → ENU(19.7,105.9) → gps(47.3989222,8.5462928)
2025-11-13_02-11-37 | Connecting to udp://:14541 …
2025-11-13_02-11-38 | Connected.
2025-11-13_02-11-38 | Waiting for local_position_ok…
2025-11-13_12-29-40 | Connecting to udp://:14541 …
2025-11-13_12-29-41 | Connected.
2025-11-13_12-29-41 | Waiting for local_position_ok…
2025-11-13_13-04-50 | Connected
2025-11-13_13-04-50 | Arming…
2025-11-13_13-04-51 | Takeoff…
